                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.7802,                0.56427,                 1.0324,                0.93625,                0.89738,                0.96251,                0.76242,                0.75355,                0.47807,                0.96419,              0.0014654,              0.0014654,              0.0014654
                     84,                0.78496,                0.57878,                 1.0125,                0.96879,                 0.8821,                0.95805,                 0.7508,                0.77775,                0.49568,                0.96659,              0.0014588,              0.0014588,              0.0014588
                     85,                0.77143,                0.54394,                 1.0176,                0.93105,                0.91703,                0.95296,                0.75085,                0.77722,                0.48511,                0.97805,              0.0014522,              0.0014522,              0.0014522
                     86,                0.77327,                0.56232,                 1.0243,                0.93192,                0.89658,                0.95996,                0.75125,                0.75892,                 0.4807,                0.96609,              0.0014456,              0.0014456,              0.0014456
                     87,                0.76289,                0.56813,                 1.0196,                0.90616,                0.90656,                0.94932,                0.74537,                0.76483,                0.49534,                0.97028,               0.001439,               0.001439,               0.001439
                     88,                 0.7766,                0.56815,                 1.0147,                0.93608,                0.92795,                0.96584,                0.75642,                0.77631,                 0.4703,                0.96963,              0.0014324,              0.0014324,              0.0014324
                     89,                0.77221,                0.56379,                 1.0213,                 0.9368,                0.90626,                0.96029,                0.74663,                0.79856,                 0.4883,                0.98686,              0.0014258,              0.0014258,              0.0014258
                     90,                0.75501,                0.53282,                 1.0037,                0.93469,                 0.9214,                0.95293,                0.75218,                0.78447,                0.47614,                0.97528,              0.0014192,              0.0014192,              0.0014192
                     91,                  0.728,                 0.5216,                0.99599,                0.93216,                0.91266,                 0.9622,                0.76614,                0.75345,                0.46457,                0.96324,              0.0014126,              0.0014126,              0.0014126
                     92,                0.75065,                0.54836,                 1.0063,                0.91307,                0.89083,                0.95344,                0.75121,                0.76056,                0.50383,                0.96695,               0.001406,               0.001406,               0.001406
                     93,                0.75968,                0.55435,                 1.0058,                0.93043,                0.90527,                0.95594,                0.75243,                0.76388,                0.48142,                0.96346,              0.0013994,              0.0013994,              0.0013994
                     94,                0.72773,                0.54533,                0.99239,                0.92412,                0.90411,                0.96288,                 0.7631,                0.74969,                 0.4818,                0.96604,              0.0013928,              0.0013928,              0.0013928
                     95,                0.72758,                0.52727,                0.99077,                0.94962,                 0.8952,                0.95198,                0.74698,                0.78371,                0.48641,                0.96983,              0.0013862,              0.0013862,              0.0013862
                     96,                0.72235,                0.52785,                0.99652,                0.93452,                0.91921,                0.96341,                0.76458,                0.75637,                0.46402,                0.96975,              0.0013796,              0.0013796,              0.0013796
                     97,                 0.7319,                0.53651,                 1.0013,                0.91737,                 0.9211,                0.95823,                0.74641,                0.76535,                0.47752,                0.97222,               0.001373,               0.001373,               0.001373
